year,county,state,fips,total,total industrial withdrawl,total fresh irrigation withdrawls,total fresh aquaculture withdrawl,total thermoelectric withdrawls,total ground water withdrawls,total surface-water withdrawls
2000,Autauga County,AL,1001,37,28,0,0,0,11,27
2000,Baldwin County,AL,1003,35,6,6,0,0,27,8
2000,Barbour County,AL,1005,7,1,1,0,0,6,1
2000,Bibb County,AL,1007,4,0,0,0,0,4,0
2000,Blount County,AL,1009,32,0,0,0,0,3,29
2000,Bullock County,AL,1011,3,0,1,0,0,3,1
2000,Butler County,AL,1013,4,0,0,0,0,4,0
2000,Calhoun County,AL,1015,25,1,1,0,0,21,4
2000,Chambers County,AL,1017,12,6,0,0,0,0,12
2000,Cherokee County,AL,1019,6,0,2,1,0,1,5
2000,Chilton County,AL,1021,5,0,0,0,0,4,1
2000,Choctaw County,AL,1023,52,50,0,0,0,2,50
2000,Clarke County,AL,1025,23,20,0,0,0,3,20
2000,Clay County,AL,1027,2,0,0,0,0,1,1
2000,Cleburne County,AL,1029,2,1,0,0,0,1,1
2000,Coffee County,AL,1031,13,3,2,0,0,11,2
2000,Colbert County,AL,1033,1346,86,1,0,1251,5,1341
2000,Conecuh County,AL,1035,2,1,0,0,0,2,0
2000,Coosa County,AL,1037,1,0,0,0,0,0,0
2000,Covington County,AL,1039,29,0,1,0,21,7,22
2000,Crenshaw County,AL,1041,2,0,0,0,0,2,0
2000,Cullman County,AL,1043,41,1,0,0,0,1,41
2000,Dale County,AL,1045,9,0,1,0,0,8,1
2000,Dallas County,AL,1047,54,40,1,2,0,13,40
2000,Dekalb County,AL,1049,18,1,0,0,0,2,16
2000,Elmore County,AL,1051,6,0,0,0,0,4,2
2000,Escambia County,AL,1053,43,35,1,0,0,8,34
2000,Etowah County,AL,1055,271,96,1,0,150,5,265
2000,Fayette County,AL,1057,3,1,0,0,0,1,2
2000,Franklin County,AL,1059,5,0,0,0,0,2,3
2000,Geneva County,AL,1061,4,0,1,0,0,3,1
2000,Greene County,AL,1063,361,0,1,1,357,4,357
2000,Hale County,AL,1065,6,0,0,3,0,6,0
2000,Henry County,AL,1067,5,0,2,0,0,3,2
2000,Houston County,AL,1069,130,1,4,0,104,24,106
2000,Jackson County,AL,1071,1563,9,0,0,1546,2,1561
2000,Jefferson County,AL,1073,103,0,0,0,38,20,83
2000,Lamar County,AL,1075,2,0,0,0,0,2,0
2000,Lauderdale County,AL,1077,15,0,0,0,0,3,12
2000,Lawrence County,AL,1079,60,56,1,0,0,1,59
2000,Lee County,AL,1081,17,2,1,0,0,2,15
2000,Limestone County,AL,1083,2121,0,2,0,2107,4,2117
2000,Lowndes County,AL,1085,2,0,1,0,0,2,1
2000,Macon County,AL,1087,5,0,1,0,0,1,4
2000,Madison County,AL,1089,54,1,2,0,0,31,23
2000,Marengo County,AL,1091,23,19,0,1,0,5,18
2000,Marion County,AL,1093,6,0,0,0,0,1,5
2000,Marshall County,AL,1095,19,1,0,0,0,4,16
2000,Mobile County,AL,1097,1295,39,1,0,1112,40,1255
2000,Monroe County,AL,1099,81,59,0,0,0,21,59
2000,Montgomery County,AL,1101,47,1,0,0,0,23,24
2000,Morgan County,AL,1103,162,127,0,0,0,4,157
